Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-29,0.277,18.289,6.583,5.723,0.497,0.36,0.24,0.001,0.026,0.842,0.22,2.22,0.0,20.0,19.42,19.422,6540000000.0,127019062500.0,25070000000.0,0.203,0.347,-0.037,0.321,1.09,0.02,127006800.0,5506680000.0,26,Technology
1998-12-28,0.231,35.907,9.32,11.463,0.346,0.26,0.193,0.001,0.036,0.709,0.18,1.922,111000000.0,32.94,32.66,32.656,6672000000.0,217882500000.0,26273000000.0,0.048,-0.126,-0.141,0.182,1.47,0.03,217907520.0,4730448000.0,27,Technology
1999-12-27,0.249,44.907,10.095,14.285,0.348,0.225,0.167,0.001,0.05,1.193,0.27,2.182,4934000000.0,49.93,49.41,49.406,6648000000.0,328452750000.0,29389000000.0,0.119,0.205,0.678,0.693,3.181,0.05,328477680.0,7931064000.0,28,Technology
2000-12-29,0.312,23.602,6.662,7.577,0.285,0.282,0.22,0.002,0.045,0.917,0.182,2.075,5941000000.0,37.51,37.06,37.062,6709000000.0,248652312500.0,33726000000.0,0.148,0.44,-0.224,0.272,3.271,0.07,497271080.0,6152153000.0,29,Technology
2001-12-31,0.049,176.458,6.358,56.706,0.239,0.036,0.029,0.002,0.417,0.2,0.051,2.155,5127000000.0,35.11,33.92,33.92,6716000000.0,227806706568.0,26539000000.0,-0.213,-0.877,-0.781,0.143,2.845,0.07,455613440.0,1343200000.0,30,Technology
2002-12-30,0.116,33.884,2.978,10.784,0.247,0.088,0.07,0.005,0.171,0.665,0.165,2.299,4330000000.0,16.99,15.88,15.88,6651000000.0,105617880000.0,26764000000.0,0.008,1.414,2.291,0.0,1.912,0.08,528089400.0,4422915000.0,31,Technology
2003-12-29,0.187,37.524,5.593,11.719,0.246,0.149,0.12,0.002,0.093,1.204,0.261,2.78,3705000000.0,33.65,32.43,32.43,6527000000.0,211670610000.0,30141000000.0,0.126,0.81,0.776,0.002,1.468,0.06,423341220.0,7858508000.0,32,Technology
2004-12-27,0.22,18.725,3.648,5.734,0.248,0.195,0.156,0.007,0.136,1.449,0.271,2.519,3719000000.0,23.3,21.99,21.99,6400000000.0,140736000000.0,34209000000.0,0.135,0.332,0.18,0.989,1.901,0.15,985152000.0,9273600000.0,33,Technology
2005-12-30,0.223,15.258,3.654,4.458,0.335,0.239,0.179,0.015,0.226,1.475,0.232,1.807,0.0,22.85,21.65,21.65,6106000000.0,132194900000.0,38826000000.0,0.135,0.153,-0.029,1.008,3.577,0.32,1982923500.0,9006350000.0,34,Technology
2006-12-29,0.143,24.009,3.295,6.66,0.316,0.137,0.104,0.019,0.46,0.835,0.137,1.493,3861000000.0,22.03,20.89,20.89,5797000000.0,121099324203.0,35382000000.0,-0.089,-0.418,-0.462,0.248,3.996,0.4,2300887270.0,4840495000.0,35,Technology
