Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,freeCashFlowPerShare,freeCashFlowMargin,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,freeCashFlow,company_age,sector
1997-12-31,0.059,36.421,5.427,-12.866,3.259,0.149,0.035,0.03,1.1,0.659,0.048,0.559,0.0,0.0,0.0,29.362,1828395000.0,53684935399.89,24856000000.0,0.788,-0.298,-0.33,0.161,0.275,0.0,0.0,1204912305.0,14,Communication Services
1998-12-31,0.14,19.836,6.244,-7.498,2.526,0.315,0.089,0.023,0.45,1.254,0.085,0.626,0.0,41.02,40.79,40.785,1956610000.0,79801317155.0,28777000000.0,0.158,1.729,1.038,0.043,0.33,0.94,1835632803.7,2453588940.0,15,Communication Services
1999-12-31,0.165,12.386,3.781,-8.158,2.114,0.305,0.098,0.033,0.403,1.84,0.127,0.511,0.0,29.79,29.65,29.645,3409000000.0,101059859544.0,49489000000.0,0.72,1.028,1.557,0.042,0.386,0.98,3335536050.0,6272560000.0,16,Communication Services
2000-12-29,0.155,15.41,4.03,-10.098,2.238,0.262,0.081,0.028,0.429,0.346,0.023,0.671,3947000000.0,36.38,36.19,36.193,3392000000.0,122767849984.0,51476000000.0,0.04,-0.024,-0.813,0.045,0.381,1.01,3437181440.0,1173632000.0,17,Communication Services
2001-12-31,0.158,12.743,2.84,-8.287,1.965,0.223,0.075,0.037,0.477,1.074,0.079,0.421,3577000000.0,27.63,27.42,27.417,3366000000.0,92285345988.0,45908000000.0,-0.108,-0.091,2.077,0.019,0.343,1.01,3414941640.0,3615084000.0,18,Communication Services
2002-12-31,0.131,10.611,1.807,-6.827,1.863,0.17,0.059,0.059,0.629,2.523,0.195,0.825,1643000000.0,19.08,18.01,18.014,3330000000.0,59985274680.0,43138000000.0,-0.06,-0.219,1.324,0.04,0.204,1.06,3538424700.0,8401590000.0,19,Communication Services
2003-12-31,0.208,7.514,1.671,-4.817,1.619,0.222,0.085,0.071,0.534,2.501,0.203,0.797,1611000000.0,20.71,19.26,19.26,3318000000.0,63904079442.0,40843000000.0,-0.053,0.505,-0.012,0.281,0.478,1.37,4537232280.0,8298318000.0,20,Communication Services
2004-12-31,0.144,10.031,1.458,-6.414,1.687,0.145,0.054,0.07,0.703,1.769,0.144,0.335,1625000000.0,18.07,17.84,17.84,3310000000.0,59049996180.0,40787000000.0,-0.001,-0.308,-0.294,-0.085,0.297,1.25,4133528000.0,5855390000.0,21,Communication Services
2005-12-30,0.109,13.846,1.212,-9.009,1.663,0.088,0.033,0.064,0.889,2.197,0.169,0.416,14055000000.0,20.04,19.68,19.675,3368000000.0,66266161168.0,43862000000.0,0.075,-0.187,0.263,0.01,0.254,1.26,4242063360.0,7399496000.0,22,Communication Services
2006-12-29,0.117,14.784,0.941,-11.088,1.342,0.064,0.027,0.047,0.701,1.879,0.116,0.46,67657000000.0,28.64,28.01,28.014,3882000000.0,108748779672.0,63055000000.0,0.438,0.537,-0.014,0.05,0.293,1.32,5110536540.0,7294278000.0,23,Communication Services
2007-12-31,0.1,14.463,1.498,-17.12,1.389,0.104,0.043,0.051,0.732,2.669,0.138,0.462,70713000000.0,28.53,28.21,28.21,6127000000.0,172842486190.0,118928000000.0,0.886,0.625,1.242,0.075,0.336,1.44,8814976170.0,16352963000.0,24,Communication Services
2008-12-31,0.104,8.566,1.144,-9.808,1.753,0.134,0.049,0.086,0.739,2.359,0.113,0.422,71829000000.0,18.9,18.6,18.595,5927000000.0,110213542955.0,124028000000.0,0.043,0.077,-0.145,0.124,0.173,1.6,9480829200.0,13981793000.0,25,Communication Services
2009-12-31,0.102,9.015,1.109,-10.277,1.633,0.123,0.047,0.086,0.771,3.025,0.145,0.512,73259000000.0,19.8,19.15,19.154,5900000000.0,113009066100.0,123018000000.0,-0.008,-0.026,0.277,0.022,0.31,1.65,9716710000.0,17847500000.0,26,Communication Services
2010-12-31,0.16,6.181,1.1,-7.061,1.402,0.178,0.074,0.081,0.499,2.615,0.124,0.443,73601000000.0,21.01,20.76,20.763,5913000000.0,122770672920.0,124280000000.0,0.01,0.585,-0.134,0.023,0.327,1.68,9943064280.0,15462495000.0,27,Communication Services
2011-12-30,0.031,33.308,1.245,-38.147,1.559,0.037,0.015,0.077,2.579,2.452,0.115,0.545,70842000000.0,22.7,22.16,22.16,5928000000.0,131365203216.0,126723000000.0,0.02,-0.801,-0.06,0.023,0.293,1.71,10115064960.0,14535456000.0,28,Communication Services
2012-12-31,0.057,20.797,1.636,-23.309,1.945,0.079,0.027,0.068,1.41,3.398,0.155,0.551,69773000000.0,26.88,26.04,26.042,5801000000.0,151071353295.0,127434000000.0,0.006,0.842,0.356,0.029,0.237,1.77,10271946720.0,19711798000.0,29,Communication Services
2013-12-31,0.142,7.409,1.486,-7.684,2.048,0.201,0.066,0.072,0.531,2.58,0.108,0.465,69273000000.0,25.81,25.19,25.189,5368000000.0,135213596496.0,128752000000.0,0.01,1.512,-0.297,0.023,0.126,1.81,9735834240.0,13849440000.0,30,Communication Services
2014-12-31,0.047,20.793,1.498,-20.91,2.384,0.072,0.021,0.074,1.535,1.948,0.077,0.62,69692000000.0,26.52,24.86,24.864,5205000000.0,129417369840.0,132447000000.0,0.029,-0.659,-0.268,0.016,0.12,1.84,9575326200.0,10139340000.0,31,Communication Services
2015-12-31,0.091,11.486,1.25,-12.489,2.275,0.109,0.033,0.067,0.764,2.961,0.114,0.453,104568000000.0,28.15,27.24,27.236,5628000000.0,153282232572.0,146801000000.0,0.108,1.144,0.643,-0.012,0.081,1.83,10271550240.0,16664508000.0,32,Communication Services
2016-12-30,0.079,15.014,1.582,-17.892,2.272,0.105,0.032,0.061,0.909,2.89,0.109,0.446,105207000000.0,32.52,31.59,31.586,6168000000.0,194823083304.0,163786000000.0,0.116,-0.028,0.07,0.055,0.115,1.93,11885674320.0,17825520000.0,33,Communication Services
2017-12-29,0.183,5.919,1.237,-7.048,2.145,0.209,0.066,0.069,0.409,3.002,0.115,0.823,105449000000.0,36.47,28.28,28.278,6164000000.0,174305259144.0,160546000000.0,-0.02,1.27,0.038,0.021,0.106,1.95,12027936480.0,18504328000.0,34,Communication Services
2018-12-31,0.113,7.762,0.817,-10.165,1.836,0.105,0.036,0.089,0.692,3.37,0.134,0.492,146370000000.0,22.95,22.18,22.183,6778000000.0,150354876062.0,170756000000.0,0.064,-0.342,0.235,0.013,0.095,1.97,13379907560.0,22841860000.0,35,Communication Services
2019-12-31,0.077,14.882,1.123,-21.044,1.898,0.075,0.025,0.072,1.071,3.994,0.161,0.505,146241000000.0,29.93,28.27,28.27,7319000000.0,206911006367.0,181193000000.0,0.061,-0.282,0.28,0.028,0.108,2.04,14897385360.0,29232086000.0,36,Communication Services
2020-12-31,-0.03,-29.9,0.957,41.343,2.143,-0.032,-0.01,0.097,-2.889,3.836,0.16,0.472,135259000000.0,22.98,21.62,21.624,7157000000.0,154762016119.0,171760000000.0,-0.052,-1.372,-0.061,0.027,0.153,2.1,15009230980.0,27454252000.0,37,Communication Services
2021-12-31,0.119,6.797,0.821,-9.412,2.211,0.121,0.036,0.11,0.75,3.548,0.15,0.453,133223000000.0,22.0,19.04,19.041,7157000000.0,136274898245.0,168864000000.0,-0.017,4.88,-0.074,0.007,0.101,2.09,14989620800.0,25393036000.0,38,Communication Services
