Date,avgROE,avgProfitMargin,avgRevenue,avgP/E,avgP/B,avgD/E
1997,0.15,0.08,25840966666.67,30.17,4.41,2.44
1998,0.21,0.11,27772966666.67,25.79,5.07,2.24
1999,0.21,0.12,35355000000.0,24.29,3.74,1.99
2000,0.17,0.12,47195000000.0,35.07,3.11,1.67
2001,0.07,0.05,46122333333.33,21.3,2.17,1.66
2002,0.12,0.08,45364000000.0,20.14,2.01,2.12
2003,0.12,0.1,45218666666.67,24.68,2.12,1.98
2004,0.15,0.11,47607333333.33,14.37,1.93,1.82
2005,0.12,0.1,50306000000.0,14.46,1.68,1.74
2006,0.1,0.1,61828000000.0,16.79,1.69,1.5
2007,0.12,0.1,82635666666.67,15.95,1.93,1.46
2008,0.14,0.1,86408333333.33,10.6,1.51,1.87
2009,0.1,0.08,88991666666.67,15.3,1.5,1.96
2010,0.12,0.1,89636000000.0,21.04,1.85,1.88
2011,0.08,0.06,92830333333.33,30.37,1.98,2.15
2012,0.08,0.07,95186000000.0,59.6,2.55,2.33
2013,0.21,0.12,98114333333.33,13.12,2.57,2.46
2014,0.34,0.09,102779666666.67,19.97,6.55,7.0
2015,0.46,0.13,110295333333.33,15.36,6.01,5.66
2016,0.3,0.12,115132666666.67,15.41,4.66,4.36
2017,0.37,0.19,113905666666.67,10.12,3.36,2.77
2018,0.22,0.15,120351000000.0,11.82,2.82,2.24
2019,0.17,0.13,127543666666.67,15.73,2.52,2.27
2020,0.07,0.02,121813333333.33,-31.0,2.3,2.38
2021,0.14,0.1,123298333333.33,57.21,2.33,2.31
